"sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","test_batch_type","test_batch_id"
"2009MUS0S11","SM 2320 B","05/28/2020 04:59:00",TRUE,NA,"initial","Analysis",681649
"2009MUS0S11","E350.1","05/22/2020 19:07:00",TRUE,NA,"initial","Analysis",681187
"2009MUS0S11","SM5310C","05/26/2020 18:19:00",TRUE,NA,"initial","Analysis",681482
"2009MUS0S11","E300.0","05/22/2020 23:30:00",TRUE,NA,"initial","Analysis",681204
"2009MUS0S11","SM10200H","05/29/2020 12:00:00",TRUE,NA,"initial","Analysis",681988
"2009MUS0S11","SM2120B","05/21/2020 16:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUS0S11","SM2340B","05/28/2020 22:29:00",TRUE,NA,"initial","Analysis",NA
"2009MUS0S11","Calculation","05/21/2020 20:15:00",TRUE,NA,"initial","Analysis",681105
"2009MUS0S11","E353.2","05/26/2020 22:18:00",TRUE,NA,"initial","Analysis",681516
"2009MUS0S11","E353.2","05/21/2020 20:15:00",TRUE,NA,"initial","Analysis",681105
"2009MUS0S11","E351.2","05/29/2020 15:06:00",TRUE,NA,"initial","Prep",359186
"2009MUS0S11","SM2120B","05/27/2020 14:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUS0S11","E365.1","05/26/2020 16:48:00",TRUE,NA,"initial","Prep",358972
"2009MUS0S11","SM5310C","05/26/2020 19:22:00",TRUE,NA,"initial","Analysis",681482
"2009MUS0S11","E365.1","05/26/2020 15:35:00",TRUE,NA,"initial","Prep",358970
"2009MUS0S12","SM 2320 B","05/27/2020 16:08:00",TRUE,NA,"initial","Analysis",681645
"2009MUS0S12","E350.1","05/22/2020 19:08:00",TRUE,NA,"initial","Analysis",681187
"2009MUS0S12","SM5310C","05/26/2020 21:07:00",TRUE,NA,"initial","Analysis",681482
"2009MUS0S12","E300.0","05/22/2020 23:37:00",TRUE,NA,"initial","Analysis",681204
"2009MUS0S12","SM2120B","05/21/2020 16:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUS0S12","SM2340B","05/28/2020 22:32:00",TRUE,NA,"initial","Analysis",NA
"2009MUS0S12","Calculation","05/21/2020 20:16:00",TRUE,NA,"initial","Analysis",681105
"2009MUS0S12","E353.2","05/26/2020 22:22:00",TRUE,NA,"initial","Analysis",681516
"2009MUS0S12","E353.2","05/21/2020 20:16:00",TRUE,NA,"initial","Analysis",681105
"2009MUS0S12","E351.2","05/29/2020 15:06:00",TRUE,NA,"initial","Prep",359186
"2009MUS0S12","SM2120B","05/27/2020 14:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUS0S12","E365.1","05/26/2020 16:51:00",TRUE,NA,"initial","Prep",358972
"2009MUS0S12","SM5310C","05/26/2020 21:27:00",TRUE,NA,"initial","Analysis",681482
"2009MUS0S12","E365.1","05/26/2020 15:36:00",TRUE,NA,"initial","Prep",358970
"2009 HIC0S11","SM 2320 B","05/28/2020 05:07:00",TRUE,NA,"initial","Analysis",681649
"2009 HIC0S11","E350.1","05/22/2020 19:09:00",TRUE,NA,"initial","Analysis",681187
"2009 HIC0S11","SM5310C","05/26/2020 21:48:00",TRUE,NA,"initial","Analysis",681482
"2009 HIC0S11","E300.0","05/22/2020 23:44:00",TRUE,NA,"initial","Analysis",681204
"2009 HIC0S11","SM10200H","05/29/2020 12:00:00",TRUE,NA,"initial","Analysis",681988
"2009 HIC0S11","SM2120B","05/21/2020 16:00:00",TRUE,NA,"initial","Analysis",681550
"2009 HIC0S11","SM2340B","05/28/2020 22:35:00",TRUE,NA,"initial","Analysis",NA
"2009 HIC0S11","Calculation","05/21/2020 20:17:00",TRUE,NA,"initial","Analysis",681215
"2009 HIC0S11","E353.2","05/26/2020 22:26:00",TRUE,NA,"initial","Analysis",681516
"2009 HIC0S11","E353.2","05/21/2020 20:17:00",TRUE,NA,"initial","Analysis",681215
"2009 HIC0S11","E351.2","05/29/2020 12:50:00",TRUE,NA,"initial","Prep",359190
"2009 HIC0S11","SM2120B","05/27/2020 14:00:00",TRUE,NA,"initial","Analysis",681550
"2009 HIC0S11","E365.1","05/26/2020 16:56:00",TRUE,NA,"initial","Prep",358973
"2009 HIC0S11","SM5310C","05/26/2020 22:09:00",TRUE,NA,"initial","Analysis",681482
"2009 HIC0S11","E365.1","05/26/2020 15:37:00",TRUE,NA,"initial","Prep",358970
"2009MUD03S12","SM 2320 B","05/27/2020 16:26:00",TRUE,NA,"initial","Analysis",681645
"2009MUD03S12","E350.1","05/22/2020 19:13:00",TRUE,NA,"initial","Analysis",681187
"2009MUD03S12","SM5310C","05/26/2020 22:30:00",TRUE,NA,"initial","Analysis",681482
"2009MUD03S12","E300.0","05/22/2020 23:51:00",TRUE,NA,"initial","Analysis",681204
"2009MUD03S12","SM2120B","05/21/2020 16:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUD03S12","SM2340B","05/28/2020 22:38:00",TRUE,NA,"initial","Analysis",NA
"2009MUD03S12","Calculation","05/21/2020 20:17:00",TRUE,NA,"initial","Analysis",681215
"2009MUD03S12","E353.2","05/26/2020 22:28:00",TRUE,NA,"initial","Analysis",681516
"2009MUD03S12","E353.2","05/21/2020 20:17:00",TRUE,NA,"initial","Analysis",681215
"2009MUD03S12","E351.2","05/29/2020 15:27:00",TRUE,NA,"initial","Prep",359190
"2009MUD03S12","SM2120B","05/27/2020 14:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUD03S12","E365.1","05/26/2020 16:59:00",TRUE,NA,"initial","Prep",358973
"2009MUD03S12","SM5310C","05/26/2020 22:51:00",TRUE,NA,"initial","Analysis",681482
"2009MUD03S12","E365.1","05/26/2020 15:38:00",TRUE,NA,"initial","Prep",358970
"2009MUD03S11","SM 2320 B","05/28/2020 05:15:00",TRUE,NA,"initial","Analysis",681649
"2009MUD03S11","E350.1","05/22/2020 19:14:00",TRUE,NA,"initial","Analysis",681187
"2009MUD03S11","SM5310C","05/26/2020 23:12:00",TRUE,NA,"initial","Analysis",681482
"2009MUD03S11","E300.0","05/22/2020 23:58:00",TRUE,NA,"initial","Analysis",681204
"2009MUD03S11","SM10200H","05/29/2020 12:00:00",TRUE,NA,"initial","Analysis",681988
"2009MUD03S11","SM2120B","05/21/2020 16:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUD03S11","SM2340B","05/28/2020 22:41:00",TRUE,NA,"initial","Analysis",NA
"2009MUD03S11","Calculation","05/21/2020 20:18:00",TRUE,NA,"initial","Analysis",681215
"2009MUD03S11","E353.2","05/26/2020 22:31:00",TRUE,NA,"initial","Analysis",681518
"2009MUD03S11","E353.2","05/21/2020 20:18:00",TRUE,NA,"initial","Analysis",681215
"2009MUD03S11","E351.2","05/29/2020 15:28:00",TRUE,NA,"initial","Prep",359190
"2009MUD03S11","SM2120B","05/27/2020 14:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUD03S11","E365.1","05/26/2020 17:00:00",TRUE,NA,"initial","Prep",358973
"2009MUD03S11","SM5310C","05/26/2020 23:33:00",TRUE,NA,"initial","Analysis",681482
"2009MUD03S11","E365.1","05/26/2020 15:45:00",TRUE,NA,"initial","Prep",358971
"2009RED0S11","SM 2320 B","05/28/2020 05:22:00",TRUE,NA,"initial","Analysis",681649
"2009RED0S11","E350.1","05/22/2020 19:15:00",TRUE,NA,"initial","Analysis",681187
"2009RED0S11","SM5310C","05/26/2020 23:54:00",TRUE,NA,"initial","Analysis",681482
"2009RED0S11","E300.0","05/23/2020 00:05:00",TRUE,NA,"initial","Analysis",681204
"2009RED0S11","SM10200H","05/29/2020 12:00:00",TRUE,NA,"initial","Analysis",681988
"2009RED0S11","SM2120B","05/21/2020 16:00:00",TRUE,NA,"initial","Analysis",681550
"2009RED0S11","SM2340B","05/28/2020 22:44:00",TRUE,NA,"initial","Analysis",NA
"2009RED0S11","Calculation","05/21/2020 20:13:00",TRUE,NA,"initial","Analysis",681105
"2009RED0S11","E353.2","05/26/2020 22:32:00",TRUE,NA,"initial","Analysis",681518
"2009RED0S11","E353.2","05/21/2020 20:13:00",TRUE,NA,"initial","Analysis",681105
"2009RED0S11","E351.2","05/29/2020 12:54:00",TRUE,NA,"initial","Prep",359190
"2009RED0S11","SM2120B","05/27/2020 14:00:00",TRUE,NA,"initial","Analysis",681550
"2009RED0S11","E365.1","05/26/2020 17:01:00",TRUE,NA,"initial","Prep",358973
"2009RED0S11","SM5310C","05/27/2020 00:57:00",TRUE,NA,"initial","Analysis",681482
"2009RED0S11","E365.1","05/26/2020 15:46:00",TRUE,NA,"initial","Prep",358971
"2009RED0S12","SM 2320 B","05/27/2020 16:33:00",TRUE,NA,"initial","Analysis",681645
"2009RED0S12","E350.1","05/22/2020 19:16:00",TRUE,NA,"initial","Analysis",681187
"2009RED0S12","SM5310C","05/27/2020 01:17:00",TRUE,NA,"initial","Analysis",681482
"2009RED0S12","E300.0","05/23/2020 00:25:00",TRUE,NA,"initial","Analysis",681204
"2009RED0S12","SM2120B","05/21/2020 16:00:00",TRUE,NA,"initial","Analysis",681550
"2009RED0S12","SM2340B","05/28/2020 22:47:00",TRUE,NA,"initial","Analysis",NA
"2009RED0S12","Calculation","05/21/2020 20:14:00",TRUE,NA,"initial","Analysis",681105
"2009RED0S12","E353.2","05/26/2020 22:39:00",TRUE,NA,"initial","Analysis",681518
"2009RED0S12","E353.2","05/21/2020 20:14:00",TRUE,NA,"initial","Analysis",681105
"2009RED0S12","E351.2","05/29/2020 12:55:00",TRUE,NA,"initial","Prep",359190
"2009RED0S12","SM2120B","05/27/2020 14:00:00",TRUE,NA,"initial","Analysis",681550
"2009RED0S12","E365.1","05/26/2020 17:05:00",TRUE,NA,"initial","Prep",358973
"2009RED0S12","SM5310C","05/27/2020 01:38:00",TRUE,NA,"initial","Analysis",681482
"2009RED0S12","E365.1","05/26/2020 15:47:00",TRUE,NA,"initial","Prep",358971
"2009MUD05S11","SM 2320 B","05/28/2020 05:28:00",TRUE,NA,"initial","Analysis",681649
"2009MUD05S11","E350.1","05/22/2020 19:17:00",TRUE,NA,"initial","Analysis",681187
"2009MUD05S11","SM5310C","05/27/2020 01:59:00",TRUE,NA,"initial","Analysis",681482
"2009MUD05S11","E300.0","05/23/2020 00:46:00",TRUE,NA,"initial","Analysis",681204
"2009MUD05S11","SM10200H","05/29/2020 12:00:00",TRUE,NA,"initial","Analysis",681988
"2009MUD05S11","SM2120B","05/21/2020 16:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUD05S11","SM2340B","05/28/2020 23:09:00",TRUE,NA,"initial","Analysis",NA
"2009MUD05S11","Calculation","05/21/2020 20:14:00",TRUE,NA,"initial","Analysis",681105
"2009MUD05S11","E353.2","05/26/2020 22:40:00",TRUE,NA,"initial","Analysis",681518
"2009MUD05S11","E353.2","05/21/2020 20:14:00",TRUE,NA,"initial","Analysis",681105
"2009MUD05S11","E351.2","05/29/2020 12:58:00",TRUE,NA,"initial","Prep",359190
"2009MUD05S11","SM2120B","05/27/2020 14:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUD05S11","E365.1","05/26/2020 17:06:00",TRUE,NA,"initial","Prep",358973
"2009MUD05S11","SM5310C","05/27/2020 02:20:00",TRUE,NA,"initial","Analysis",681482
"2009MUD05S11","E365.1","05/26/2020 15:48:00",TRUE,NA,"initial","Prep",358971
"2009MUD05S12","SM 2320 B","05/27/2020 16:39:00",TRUE,NA,"initial","Analysis",681645
"2009MUD05S12","E350.1","05/22/2020 19:18:00",TRUE,NA,"initial","Analysis",681187
"2009MUD05S12","SM5310C","05/27/2020 03:02:00",TRUE,NA,"initial","Analysis",681483
"2009MUD05S12","E300.0","05/23/2020 00:53:00",TRUE,NA,"initial","Analysis",681204
"2009MUD05S12","SM2120B","05/21/2020 16:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUD05S12","SM2340B","05/28/2020 23:12:00",TRUE,NA,"initial","Analysis",NA
"2009MUD05S12","Calculation","05/21/2020 20:15:00",TRUE,NA,"initial","Analysis",681105
"2009MUD05S12","E353.2","05/26/2020 22:42:00",TRUE,NA,"initial","Analysis",681518
"2009MUD05S12","E353.2","05/21/2020 20:15:00",TRUE,NA,"initial","Analysis",681105
"2009MUD05S12","E351.2","05/29/2020 12:58:00",TRUE,NA,"initial","Prep",359190
"2009MUD05S12","SM2120B","05/27/2020 14:00:00",TRUE,NA,"initial","Analysis",681550
"2009MUD05S12","E365.1","05/26/2020 17:07:00",TRUE,NA,"initial","Prep",358973
"2009MUD05S12","SM5310C","05/27/2020 03:23:00",TRUE,NA,"initial","Analysis",681483
"2009MUD05S12","E365.1","05/26/2020 15:49:00",TRUE,NA,"initial","Prep",358971
"2009HIC0E11","SM 2320 B","05/28/2020 05:37:00",TRUE,NA,"initial","Analysis",681651
"2009HIC0E11","E350.1","05/22/2020 19:19:00",TRUE,NA,"initial","Analysis",681187
"2009HIC0E11","SM5310C","05/27/2020 03:44:00",TRUE,NA,"initial","Analysis",681483
"2009HIC0E11","E300.0","05/23/2020 00:59:00",TRUE,NA,"initial","Analysis",681204
"2009HIC0E11","SM10200H","05/29/2020 12:00:00",TRUE,NA,"initial","Analysis",681988
"2009HIC0E11","SM2120B","05/21/2020 16:00:00",TRUE,NA,"initial","Analysis",681550
"2009HIC0E11","SM2340B","05/28/2020 23:15:00",TRUE,NA,"initial","Analysis",NA
"2009HIC0E11","Calculation","05/21/2020 20:12:00",TRUE,NA,"initial","Analysis",681105
"2009HIC0E11","E353.2","05/26/2020 22:43:00",TRUE,NA,"initial","Analysis",681518
"2009HIC0E11","E353.2","05/21/2020 20:12:00",TRUE,NA,"initial","Analysis",681105
"2009HIC0E11","E351.2","05/29/2020 12:59:00",TRUE,NA,"initial","Prep",359190
"2009HIC0E11","SM2120B","05/27/2020 14:00:00",TRUE,NA,"initial","Analysis",681550
"2009HIC0E11","E365.1","05/26/2020 17:08:00",TRUE,NA,"initial","Prep",358973
"2009HIC0E11","SM5910B","05/21/2020 21:29:00",TRUE,NA,"initial","Analysis",681684
"2009HIC0E11","SM5310C","05/27/2020 04:05:00",TRUE,NA,"initial","Analysis",681483
"2009HIC0E11","E365.1","05/26/2020 15:50:00",TRUE,NA,"initial","Prep",358971
"2009HIC0E12","SM 2320 B","05/27/2020 16:41:00",TRUE,NA,"initial","Analysis",681645
"2009HIC0E12","E350.1","05/22/2020 19:20:00",TRUE,NA,"initial","Analysis",681187
"2009HIC0E12","SM5310C","05/27/2020 05:07:00",TRUE,NA,"initial","Analysis",681483
"2009HIC0E12","E300.0","05/23/2020 01:06:00",TRUE,NA,"initial","Analysis",681204
"2009HIC0E12","SM2120B","05/21/2020 16:00:00",TRUE,NA,"initial","Analysis",681550
"2009HIC0E12","SM2340B","05/28/2020 23:18:00",TRUE,NA,"initial","Analysis",NA
"2009HIC0E12","Calculation","05/21/2020 20:12:00",TRUE,NA,"initial","Analysis",681105
"2009HIC0E12","E353.2","05/26/2020 22:44:00",TRUE,NA,"initial","Analysis",681518
"2009HIC0E12","E353.2","05/21/2020 20:12:00",TRUE,NA,"initial","Analysis",681105
"2009HIC0E12","E351.2","05/29/2020 13:00:00",TRUE,NA,"initial","Prep",359190
"2009HIC0E12","SM2120B","05/27/2020 14:00:00",TRUE,NA,"initial","Analysis",681550
"2009HIC0E12","E365.1","05/26/2020 17:09:00",TRUE,NA,"initial","Prep",358973
"2009HIC0E12","SM5910B","05/21/2020 21:29:00",TRUE,NA,"initial","Analysis",681684
"2009HIC0E12","SM5310C","05/27/2020 06:10:00",TRUE,NA,"initial","Analysis",681483
